Category,Diploma/Certificates,Associate,Bachelor’s,CIP Code
Agriculture,,,,01
Natural resources and conservation,,,434.99999999999994,03
Architecture,,,,04
"Area, ethnic, and gender studies",,,301.0,05
Communication/journalism,,,,09
Communication technologies,,,,10
Computer and information sciences,,,491.0,11
Personal and culinary services,,,,12
Education,,,223.0,13
Engineering,,,,14
Engineering technologies,,,,15
"Foreign languages, literatures, and linguistics",,,513.0,16
Family and consumer sciences,,,,19
Law/legal studies,,,,22
English,,,603.0,23
Liberal arts/general studies,,,22.0,24
Library science,,,,25
Biological/life sciences,,,1261.0,26
Mathematics and statistics,,,301.0,27
Military science and military technologies,,,,28 & 29
Interdisciplinary studies,,,401.99999999999994,30
Parks and recreation,,,,31
Philosophy and religious studies,,,413.00000000000006,38
Theology and religious vocations,,,,39
Physical sciences,,,368.0,40
Science technologies,,,,41
Psychology,,,625.0,42
"Homeland Security, law enforcement, firefighting,
and protective services",,,,43
Public administration and social services,,,,44
Social sciences,,,3060.0,45
Construction trades,,,,46
Mechanic and repair technologies,,,,47
Precision production,,,,48
Transportation and materials moving,,,,49
Visual and performing arts,,,502.00000000000006,50
Health professions and related programs,,,,51
Business/marketing,,,,52
History,,,480.0,54
Other,,,,
TOTAL (should = 100%),0.00%,0.00%,,
