Category,Diploma/Certificates,Associate,Bachelor's,CIP Code
Agriculture,,,0.39,1
Natural resources and conservation,,,2.74,3
Architecture,,,0.12,4
"Area, ethnic, and gender studies",,,0.09,5
Communication/journalism,,,8.14,9
Communication technologies,,,0.16,10
Computer and information sciences,,,1.55,11
Personal and culinary services,,,0.0,12
Education,,,9.32,13
Engineering,,,0.0,14
Engineering technologies,,,1.29,15
"Foreign languages, literatures, and linguistics",,,0.67,16
Family and consumer sciences,,,1.73,19
Law/legal studies,,,0.0,22
English,,,1.48,23
Liberal arts/general studies,,,0.37,24
Library science,,,0.0,25
Biological/life sciences,,,3.62,26
Mathematics and statistics,,,1.04,27
Military science and military technologies,,,0.0,28 and 29
Interdisciplinary studies,,,0.35,30
Parks and recreation,,,8.79,31
Philosophy and religious studies,,,0.62,38
Theology and religious vocations,,,0.0,39
Physical sciences,,,2.24,40
Science technologies,,,0.0,41
Psychology,,,7.13,42
"Homeland Security, law enforcement, firefighting,
and protective services",,,3.34,43
Public administration and social services,,,2.58,44
Social sciences,,,5.83,45
Construction trades,,,,46
Mechanic and repair technologies,,,,47
Precision production,,,,48
Transportation and materials moving,,,,49
Visual and performing arts,,,5.72,50
Health professions and related programs,,,9.64,51
Business/marketing,,,20.2,52
History,,,0.85,54
Other,,,,
