Category,Diploma/Certificates,Associate,Bachelor’s,CIP Code
Agriculture,,,0.50%,1
Natural resources and conservation,,,2.68%,3
Architecture,,,0.24%,4
"Area, ethnic, and gender studies",,,0.19%,5
Communication/journalism,,,7.74%,9
Communication technologies,,,0.00%,10
Computer and information sciences,,,1.94%,11
Personal and culinary services,,,0.00%,12
Education,,,9.23%,13
Engineering,,,0.00%,14
Engineering technologies,,,1.56%,15
"Foreign languages, literatures, and linguistics",,,0.96%,16
Family and consumer sciences,,,1.61%,19
Law/legal studies,,,0.00%,22
English,,,2.21%,23
Liberal arts/general studies,,,0.58%,24
Library science,,,0.00%,25
Biological/life sciences,,,3.57%,26
Mathematics and statistics,,,1.03%,27
Military science and military technologies,,,0.00%,28 & 29
Interdisciplinary studies,,,0.43%,30
Parks and recreation,,,6.69%,31
Philosophy and religious studies,,,0.60%,38
Theology and religious vocations,,,0.00%,39
Physical sciences,,,2.66%,40
Science technologies,,,0.00%,41
Psychology,,,5.68%,42
"Homeland Security, law enforcement, firefighting, and
protective services",,,2.64%,43
Public administration and social services,,,2.52%,44
Social sciences,,,5.94%,45
Construction trades,,,0.00%,46
Mechanic and repair technologies,,,0.00%,47
Precision production,,,0.00%,48
Transportation and materials moving,,,0.00%,49
Visual and performing arts,,,6.52%,50
Health professions and related programs,,,10.59%,51
Business/marketing,,,20.76%,52
History,,,0.93%,54
Other,,,,
TOTAL (should = 100%),0.00%,0.00%,100.00%,
