Category,Diploma/Certificates,Associate,Bachelor’s,CIP Code
Agriculture,,,,1
Natural resources and conservation,,,400.0,3
Architecture,,,,4
"Area, ethnic, and gender studies",,,200.0,5
Communication/journalism,,,,9
Communication technologies,,,,10
Computer and information sciences,,,459.99999999999994,11
Personal and culinary services,,,,12
Education,,,320.0,13
Engineering,,,,14
Engineering technologies,,,,15
"Foreign languages, literatures, and linguistics",,,540.0,16
Family and consumer sciences,,,,19
Law/legal studies,,,,22
English,,,280.0,23
Liberal arts/general studies,,,10.0,24
Library science,,,,25
Biological/life sciences,,,1200.0,26
Mathematics and statistics,,,260.0,27
Military science and military technologies,,,,28 & 29
Interdisciplinary studies,,,490.00000000000006,30
Parks and recreation,,,,31
Philosophy and religious studies,,,490.00000000000006,38
Theology and religious vocations,,,,39
Physical sciences,,,630.0,40
Science technologies,,,,41
Psychology,,,640.0,42
"Homeland Security, law enforcement, firefighting,
and protective services",,,,
Public administration and social services,,,,44
Social sciences,,,3300.0,45
Construction trades,,,,46
Mechanic and repair technologies,,,,47
Precision production,,,,48
Transportation and materials moving,,,,49
Visual and performing arts,,,380.0,50
Health professions and related programs,,,,51
Business/marketing,,,,52
History,,,400.0,54
Other,,,,
TOTAL (should = 100%),0.00%,0.00%,,
