Category,Diploma/Certificates,Associate,Bachelor’s,CIP Code
"Biology, General",--,--,22%,26.01
Economics,--,--,11%,45.06
Computer Engineering,--,--,9%,14.09
"Psychology, General",--,--,5%,42.0101
Electrical and Electronics Engineering,--,--,5%,14.1001
Other,--,--,48%,
TOTAL (should = 100%),--,--,100%,
