Category,Diploma/Certificates,Associate,Bachelor’s,CIP 2020 Categories to Include
Agriculture,,,,01
Natural resources and conservation,,,,03
Architecture,,,,04
"Area, ethnic, and gender studies",,,1.94%,05
Communication/journalism,,,,09
Communication technologies,,,,10
Computer and information sciences,6.67%,,2.32%,11
Personal and culinary services,,,,12
Education,,,,13
Engineering,,,,14
Engineering technologies,,,,15
"Foreign languages, literatures, and linguistics",,,2.53%,16
Family and consumer sciences,,,,19
Law/legal studies,,,,22
English,,,2.32%,23
Liberal arts/general studies,,,1.29%,24
Library science,,,,25
Biological/life sciences,,,5.98%,26
Mathematics and statistics,,,2.15%,27
Military science and military technologies,,,,28 & 29
Interdisciplinary studies,,,4.95%,30
Parks and recreation,,,,31
Philosophy and religious studies,,,0.92%,38
Theology and religious vocations,,,,39
Physical sciences,,,1.13%,40
Science technologies,,,,41
Psychology,,,4.69%,42
"Homeland Security, law enforcement, firefighting,",,,,43
Public administration and social services,,,,44
Social sciences,,,41.95%,45
Construction trades,,,,46
Mechanic and repair technologies,,,,47
Precision production,,,,48
Transportation and materials moving,,,,49
Visual and performing arts,,,1.18%,50
Health professions and related programs,93.33%,,5.01%,51
Business/marketing,,,19.92%,52
History,,,1.72%,54
Other,,,,
TOTAL (should = 100%),100.00%,0.00%,100.00%,
