Category,Diploma/Certificates,Associate,Bachelor’s,CIP Code
Agriculture,,,0.58%,1
Natural resources and conservation,,,2.37%,3
Architecture,,,0.12%,4
"Area, ethnic, and gender studies",,,0.19%,5
Communication/journalism,,,7.79%,9
Communication technologies,,,0.00%,10
Computer and information sciences,,,1.53%,11
Personal and culinary services,,,0.00%,12
Education,,,9.17%,13
Engineering,,,0.00%,14
Engineering technologies,,,0.94%,15
"Foreign languages, literatures, and linguistics",,,0.92%,16
Family and consumer sciences,,,1.48%,19
Law/legal studies,,,0.00%,22
English,,,1.98%,23
Liberal arts/general studies,,,0.56%,24
Library science,,,0.00%,25
Biological/life sciences,,,4.02%,26
Mathematics and statistics,,,0.70%,27
Military science and military technologies,,,0.00%,28 & 29
Interdisciplinary studies,,,0.70%,30
Parks and recreation,,,7.26%,31
Philosophy and religious studies,,,0.53%,38
Theology and religious vocations,,,0.00%,39
Physical sciences,,,1.98%,40
Science technologies,,,0.00%,41
Psychology,,,5.62%,42
"Homeland Security, law enforcement, firefighting, and
protective services",,,3.34%,43
Public administration and social services,,,2.03%,44
Social sciences,,,6.85%,45
Construction trades,,,0.00%,46
Mechanic and repair technologies,,,0.00%,47
Precision production,,,0.00%,48
Transportation and materials moving,,,0.00%,49
Visual and performing arts,,,6.08%,50
Health professions and related programs,,,11.64%,51
Business/marketing,,,20.60%,52
History,,,0.99%,54
Other,,,,
TOTAL (should = 100%),0.00%,0.00%,100.00%,
