Category,Diploma/Certificates,Associate,Bachelor’s,CIP Code,college,year
Philosophy and religious studies,,,0.0,38,wsu,2023
Theology and religious vocations,,,,39,wsu,2023
Physical sciences,0.0,,3.0,40,wsu,2023
Science technologies,,,,41,wsu,2023
Psychology,,,9.0,42,wsu,2023
"Homeland Security, law enforcement, firefighting,
and protective services",0.0,,,43,wsu,2023
Public administration and social services,,,0.0,44,wsu,2023
Social sciences,,,11.0,45,wsu,2023
Construction trades,,,,46,wsu,2023
Mechanic and repair technologies,,,,47,wsu,2023
Precision production,,,,48,wsu,2023
Transportation and materials moving,,,,49,wsu,2023
Visual and performing arts,3.0,,1.0,50,wsu,2023
Health professions and related programs,5.0,,7.0,51,wsu,2023
Business/marketing,39.0,,18.0,52,wsu,2023
History,,,1.0,54,wsu,2023
Other,,,,,wsu,2023
Agriculture,,,,1,caltech,2023
Natural resources and conservation,,,,3,caltech,2023
Architecture,,,,4,caltech,2023
"Area, ethnic, and gender studies",,,,5,caltech,2023
Communication/journalism,,,,9,caltech,2023
Communication technologies,,,,10,caltech,2023
Computer and information sciences,,,30.5,11,caltech,2023
Personal and culinary services,,,,12,caltech,2023
Education,,,,13,caltech,2023
Engineering,,,36.1,14,caltech,2023
Engineering technologies,,,,15,caltech,2023
"Foreign languages, literatures, and linguistics",,,,16,caltech,2023
Family and consumer sciences,,,,19,caltech,2023
Law/legal studies,,,,22,caltech,2023
English,,,,23,caltech,2023
Liberal arts/general studies,,,,24,caltech,2023
Library science,,,,25,caltech,2023
Biological/life sciences,,,6.0,26,caltech,2023
Mathematics and statistics,,,10.7,27,caltech,2023
Military science and military technologies,,,,28 and 29,caltech,2023
Interdisciplinary studies,,,,30,caltech,2023
Parks and recreation,,,,31,caltech,2023
Philosophy and religious studies,,,,38,caltech,2023
Theology and religious vocations,,,,39,caltech,2023
Physical sciences,,,13.3,40,caltech,2023
Science technologies,,,,41,caltech,2023
Psychology,,,,42,caltech,2023
"Homeland Security, law enforcement, firefighting,
and protective services",,,,43,caltech,2023
Public administration and social services,,,,44,caltech,2023
Social sciences,,,,45,caltech,2023
Construction trades,,,,46,caltech,2023
Mechanic and repair technologies,,,,47,caltech,2023
Precision production,,,,48,caltech,2023
Transportation and materials moving,,,,49,caltech,2023
Visual and performing arts,,,,50,caltech,2023
Health professions and related programs,,,,51,caltech,2023
Business/marketing,,,0.4,52,caltech,2023
History,,,,54,caltech,2023
Other,,,,,caltech,2023
Agriculture,,,,1,dartmouth,2023
Natural resources and conservation,,,,3,dartmouth,2023
Architecture,,,,4,dartmouth,2023
"Area, ethnic, and gender studies",,,4.6,5,dartmouth,2023
Communication/journalism,,,,9,dartmouth,2023
Communication technologies,,,,10,dartmouth,2023
Computer and information sciences,,,9.2,11,dartmouth,2023
Personal and culinary services,,,,12,dartmouth,2023
Education,,,,13,dartmouth,2023
Engineering,,,6.1,14,dartmouth,2023
Engineering technologies,,,,15,dartmouth,2023
"Foreign languages, literatures, and linguistics",,,3.5,16,dartmouth,2023
Family and consumer sciences,,,,19,dartmouth,2023
Law/legal studies,,,,22,dartmouth,2023
English,,,2.9,23,dartmouth,2023
Liberal arts/general studies,,,,24,dartmouth,2023
Library science,,,,25,dartmouth,2023
Biological/life sciences,,,8.5,26,dartmouth,2023
Mathematics and statistics,,,8.0,27,dartmouth,2023
Military science and military technologies,,,,28 and 29,dartmouth,2023
Interdisciplinary studies,,,9.1,30,dartmouth,2023
Parks and recreation,,,,31,dartmouth,2023
Philosophy and religious studies,,,3.0,38,dartmouth,2023
Theology and religious vocations,,,,39,dartmouth,2023
Physical sciences,,,3.9,40,dartmouth,2023
Science technologies,,,,41,dartmouth,2023
Psychology,,,3.4,42,dartmouth,2023
"Homeland Security, law enforcement, firefighting,
and protective services",,,,43,dartmouth,2023
Public administration and social services,,,,44,dartmouth,2023
Social sciences,,,30.7,45,dartmouth,2023
Construction trades,,,,46,dartmouth,2023
Mechanic and repair technologies,,,,47,dartmouth,2023
Precision production,,,,48,dartmouth,2023
Transportation and materials moving,,,,49,dartmouth,2023
Visual and performing arts,,,4.3,50,dartmouth,2023
Health professions and related programs,,,,51,dartmouth,2023
Business/marketing,,,,52,dartmouth,2023
History,,,2.8,54,dartmouth,2023
Other,,,,,dartmouth,2023
Agriculture,,,,01,george,2023
Natural resources and conservation,,,,03,george,2023
Architecture,,,,04,george,2023
"Area, ethnic, and gender studies",,,1.94%,05,george,2023
Communication/journalism,,,,09,george,2023
Communication technologies,,,,10,george,2023
Computer and information sciences,6.67%,,2.32%,11,george,2023
Personal and culinary services,,,,12,george,2023
Education,,,,13,george,2023
Engineering,,,,14,george,2023
Engineering technologies,,,,15,george,2023
"Foreign languages, literatures, and linguistics",,,2.53%,16,george,2023
Family and consumer sciences,,,,19,george,2023
Law/legal studies,,,,22,george,2023
English,,,2.32%,23,george,2023
Liberal arts/general studies,,,1.29%,24,george,2023
Library science,,,,25,george,2023
Biological/life sciences,,,5.98%,26,george,2023
Mathematics and statistics,,,2.15%,27,george,2023
Military science and military technologies,,,,28 & 29,george,2023
Interdisciplinary studies,,,4.95%,30,george,2023
Parks and recreation,,,,31,george,2023
Philosophy and religious studies,,,0.92%,38,george,2023
Theology and religious vocations,,,,39,george,2023
Physical sciences,,,1.13%,40,george,2023
Science technologies,,,,41,george,2023
Psychology,,,4.69%,42,george,2023
"Homeland Security, law enforcement, firefighting,",,,,43,george,2023
Public administration and social services,,,,44,george,2023
Social sciences,,,41.95%,45,george,2023
Construction trades,,,,46,george,2023
Mechanic and repair technologies,,,,47,george,2023
Precision production,,,,48,george,2023
Transportation and materials moving,,,,49,george,2023
Visual and performing arts,,,1.18%,50,george,2023
Health professions and related programs,93.33%,,5.01%,51,george,2023
Business/marketing,,,19.92%,52,george,2023
History,,,1.72%,54,george,2023
Other,,,,,george,2023
TOTAL (should = 100%),100.00%,0.00%,100.00%,,george,2023
Agriculture,,,0.07,1,asu,2023
Natural resources and conservation,,,2.53,3,asu,2023
Architecture,,,0.22,4,asu,2023
"Area, ethnic, and gender studies",,,0.14,5,asu,2023
Communication/journalism,,,6.13,9,asu,2023
Communication technologies,,,0.19,10,asu,2023
Computer and information sciences,,,2.07,11,asu,2023
Personal and culinary services,,,0.0,12,asu,2023
Education,,,9.27,13,asu,2023
Engineering,,,0.0,14,asu,2023
Engineering technologies,,,1.34,15,asu,2023
"Foreign languages, literatures, and linguistics",,,0.61,16,asu,2023
Family and consumer sciences,,,1.44,19,asu,2023
Law/legal studies,,,0.0,22,asu,2023
English,,,1.75,23,asu,2023
Liberal arts/general studies,,,0.44,24,asu,2023
Library science,,,0.0,25,asu,2023
Biological/life sciences,,,4.01,26,asu,2023
Mathematics and statistics,,,0.88,27,asu,2023
Military science and military technologies,,,0.0,28 and 29,asu,2023
Interdisciplinary studies,,,0.39,30,asu,2023
Parks and recreation,,,8.18,31,asu,2023
Philosophy and religious studies,,,0.26,38,asu,2023
Theology and religious vocations,,,0.0,39,asu,2023
Physical sciences,,,2.21,40,asu,2023
Science technologies,,,0.0,41,asu,2023
Psychology,,,7.71,42,asu,2023
"Homeland Security, law enforcement, firefighting,
and protective services",,,3.48,43,asu,2023
Public administration and social services,,,2.51,44,asu,2023
Social sciences,,,4.77,45,asu,2023
Construction trades,,,,46,asu,2023
Mechanic and repair technologies,,,,47,asu,2023
Precision production,,,,48,asu,2023
Transportation and materials moving,,,,49,asu,2023
Visual and performing arts,,,6.16,50,asu,2023
Health professions and related programs,,,8.88,51,asu,2023
Business/marketing,,,22.9,52,asu,2023
History,,,1.46,54,asu,2023
Other,,,,,asu,2023
