Category,Diploma/Certificates,Associate,Bachelor’s,CIP 2010 Categories to Include
Agriculture,,,0.60%,1
Natural resources and conservation,,,2.31%,3
Architecture,,,0.14%,4
"Area, ethnic, and gender studies",,,0.22%,5
Communication/journalism,,,6.92%,9
Communication technologies,,,0.00%,10
Computer and information sciences,,,1.68%,11
Personal and culinary services,,,0.00%,12
Education,,,10.69%,13
Engineering,,,0.00%,14
Engineering technologies,,,1.46%,15
"Foreign languages, literatures, and linguistics",,,0.96%,16
Family and consumer sciences,,,1.08%,19
Law/legal studies,,,0.00%,22
English,,,2.02%,23
Liberal arts/general studies,,,0.65%,24
Library science,,,0.00%,25
Biological/life sciences,,,4.06%,26
Mathematics and statistics,,,0.84%,27
Military science and military technologies,,,0.00%,28 & 29
Interdisciplinary studies,,,0.91%,30
Parks and recreation,,,7.16%,31
Philosophy and religious studies,,,0.72%,38
Theology and religious vocations,,,0.00%,39
Physical sciences,,,3.34%,40
Science technologies,,,0.00%,41
Psychology,,,5.21%,42
"Homeland Security, law enforcement, firefighting, and
protective services",,,3.84%,43
Public administration and social services,,,2.04%,44
Social sciences,,,5.98%,45
Construction trades,,,0.00%,46
Mechanic and repair technologies,,,0.00%,47
Precision production,,,0.00%,48
Transportation and materials moving,,,0.00%,49
Visual and performing arts,,,5.21%,50
Health professions and related programs,,,11.34%,51
Business/marketing,,,19.48%,52
History,,,1.15%,54
Other,,,,
TOTAL (should = 100%),0.00%,0.00%,100.00%,
