Category,Diploma/ Certificates,Associate,Bachelor’s,CIP Code Number
"Biology, General",--,--,18%,26.01
Economics,--,--,14%,45.06
Psychology,--,--,8%,42
Computer Science,--,--,7%,11.07
"Political Science and Government, Other",--,--,5%,45.1099
Other,--,--,48%,
TOTAL (should = 100%),--,--,100%,
